Таблица идентификаторов
Идентификатор                         | Тип данных        | Тип идентификатора     | Индекс в таблице лексем     | Значение
sum                                   | float             | функция                | Из статической библиотеки   | Не определено
minus                                 | float             | функция                | Из статической библиотеки   | Не определено
mult                                  | float             | функция                | Из статической библиотеки   | Не определено
division                              | float             | функция                | Из статической библиотеки   | Не определено
fact.$                                | num               | функция                | 0                           | Не определено
a.fact.$                              | num               | параметр               | 4                           | Не определено
res.fact.$                            | num               | переменная             | 11                          | Не определено
literal                               | num               | литерал                | 15                          | 1
literal                               | num               | литерал                | 19                          | 1
a.fact.$                              | num               | параметр               | 21                          | Не определено
literal                               | num               | литерал                | 23                          | 1
i.$For1.fact.$                        | num               | параметр               | 25                          | Не определено
res.fact.$                            | num               | переменная             | 27                          | Не определено
mult                                  | float             | функция                | 29                          | Не определено
res.fact.$                            | num               | переменная             | 31                          | Не определено
i.$For1.fact.$                        | num               | параметр               | 33                          | Не определено
res.fact.$                            | num               | переменная             | 40                          | Не определено
your.$                                | action            | функция                | 43                          | Не определено
n.your.$                              | num               | параметр               | 47                          | Не определено
n.your.$                              | num               | параметр               | 55                          | Не определено
literal                               | num               | литерал                | 57                          | 1021
literal                               | string            | литерал                | 64                          | Вы верно представили число 
n.your.$                              | num               | параметр               | 66                          | Не определено
literal                               | string            | литерал                | 68                          |  в шестнадцатиричном формате!\n
literal                               | string            | литерал                | 76                          | Вы неверно представили число 
n.your.$                              | num               | параметр               | 78                          | Не определено
literal                               | string            | литерал                | 80                          |  в шестнадцатиричном формате!\n
n.$l4.main.$                          | num               | переменная             | 87                          | Не определено
literal                               | num               | литерал                | 91                          | 5
res.$l4.main.$                        | num               | переменная             | 93                          | Не определено
fact.$                                | num               | функция                | 97                          | Не определено
n.$l4.main.$                          | num               | переменная             | 99                          | Не определено
literal                               | string            | литерал                | 104                         | Факториал 
n.$l4.main.$                          | num               | переменная             | 106                         | Не определено
literal                               | string            | литерал                | 108                         |  равен: 
res.$l4.main.$                        | num               | переменная             | 110                         | Не определено
literal                               | symb              | литерал                | 112                         | 

n1.$l4.main.$                         | num               | переменная             | 115                         | Не определено
literal                               | num               | литерал                | 119                         | 225
your.$                                | action            | функция                | 121                         | Не определено
n1.$l4.main.$                         | num               | переменная             | 123                         | Не определено
a1.$l4.main.$                         | num               | переменная             | 126                         | Не определено
literal                               | num               | литерал                | 130                         | 5
a2.$l4.main.$                         | num               | переменная             | 132                         | Не определено
literal                               | num               | литерал                | 136                         | 3
bit1.$l4.main.$                       | num               | переменная             | 138                         | Не определено
a1.$l4.main.$                         | num               | переменная             | 142                         | Не определено
a2.$l4.main.$                         | num               | переменная             | 144                         | Не определено
bit2.$l4.main.$                       | num               | переменная             | 146                         | Не определено
a1.$l4.main.$                         | num               | переменная             | 150                         | Не определено
a2.$l4.main.$                         | num               | переменная             | 152                         | Не определено
bit3.$l4.main.$                       | num               | переменная             | 154                         | Не определено
a2.$l4.main.$                         | num               | переменная             | 159                         | Не определено
literal                               | string            | литерал                | 163                         | a1 & a2: 
bit1.$l4.main.$                       | num               | переменная             | 165                         | Не определено
literal                               | symb              | литерал                | 167                         | 

literal                               | string            | литерал                | 172                         | a1 | a2: 
bit2.$l4.main.$                       | num               | переменная             | 174                         | Не определено
literal                               | symb              | литерал                | 176                         | 

literal                               | string            | литерал                | 181                         | ~a2: 
bit3.$l4.main.$                       | num               | переменная             | 183                         | Не определено
literal                               | symb              | литерал                | 185                         | 

c.$l4.main.$                          | symb              | переменная             | 188                         | Не определено
literal                               | symb              | литерал                | 192                         | c
literal                               | string            | литерал                | 196                         | Переменная типа СИМВОЛ инициализорованная явно: 
c.$l4.main.$                          | symb              | переменная             | 198                         | Не определено
literal                               | symb              | литерал                | 200                         | 

s.$l4.main.$                          | symb              | переменная             | 203                         | Не определено
literal                               | symb              | литерал                | 207                         | f
literal                               | string            | литерал                | 211                         | Переменная типа СИМВОЛ инициализорованная неявно: 
s.$l4.main.$                          | symb              | переменная             | 213                         | Не определено
literal                               | symb              | литерал                | 215                         | 

f1.$l4.main.$                         | float             | переменная             | 218                         | Не определено
literal                               | float             | литерал                | 222                         | 5,600000
round.$l4.main.$                      | float             | функция                | 224                         | Не определено
a.round.$l4.main.$                    | float             | параметр               | 228                         | Не определено
numa.round.$l4.main.$                 | num               | переменная             | 235                         | Не определено
a.round.$l4.main.$                    | float             | параметр               | 239                         | Не определено
minus                                 | float             | функция                | 242                         | Не определено
a.round.$l4.main.$                    | float             | параметр               | 244                         | Не определено
numa.round.$l4.main.$                 | num               | переменная             | 246                         | Не определено
literal                               | float             | литерал                | 249                         | 0,500000
sum                                   | float             | функция                | 255                         | Не определено
numa.round.$l4.main.$                 | num               | переменная             | 257                         | Не определено
literal                               | num               | литерал                | 259                         | 1
numa.round.$l4.main.$                 | num               | переменная             | 264                         | Не определено
literal                               | string            | литерал                | 270                         | Результат округления f1: 
round.$l4.main.$                      | float             | функция                | 272                         | Не определено
f1.$l4.main.$                         | float             | переменная             | 274                         | Не определено
literal                               | num               | литерал                | 279                         | 0

